ref,coverage,content
56 - 57,0.57%,all_R_25FsXA8W6Wym7QW : I live in a mostly republican neighborhood. most times people try to respect my pronouns and identity but I've had people tell me straight to my face they could never call me a man because I dont look like one. I also have been shoulder checked for walking around the town fair and looking the way I do. For the most part I feel safe in my own home but my partner worries about me having pride stickers on my car or on display on our porch. Recently though things have gotten easier because the facemasks hide my more effeminate features.
58 - 59,0.28%,all_R_3HCfhCK3O51Y3WM : Living in Texas can be a little hard. I am visibly Transfeminine and I work in an cleanroom where I am unable to wear makeup or a wig or a dress ect. so being so early in my transition can be a little rough with the way ppl tend to treat me here.
60 - 61,0.79%,"all_R_WpMku8nCdcdNpct : I have spent my life hiding most of my disability from others and being emotionally neglected when I did express a need for accommodation. I didnƒ??t have my Autism diagnosis until I was an adult which made me more susceptible to harassment. My peers physically assaulted me for being different more times than I count. My first memory of expressing my gender was met with assault by a classmate, I was 8. It is normalized to bully in this area, a part of the social norms. When I came out about my identity in high school, I had major backlash including being abandoned by my entire support system. The area where I live makes me fear living as my genuine self. My disability stops me from leaving. I need care and support and canƒ??t hold a job. I feel stuck."
62 - 64,0.34%,"all_R_2tFNj549GhYW1dg : This area is a desert for quality jobs but the cost of living is climbing quickly. Education, healthcare, and opportunity are sub-par. Persistent cultural and institutional racism, abti-LGBTQ+ sentiment, and sexism limits the opportunity for people here. This drives a lot of my feelings of anxiety for my future."
65,0.18%,"all_R_xbh1HC5qjQS5g77 : Living in the Midwest makes being open about sexuality and gender a bit worse than it would be in other locations, but still better than, say, in the south."
66,0.16%,all_R_1rqWB1eadxqRS6O : I live in a very conservative area. Walking down thebstreet holding hands with a guy has gotten me assaulted on more than one occasion.
67,0.19%,"all_R_6xwByMsgODSPjbj : Being in the Midwest, there are very few resources in my area for LGBTQ+ people, and I have experienced homophobia in the form of online harassment at my high school."
68,0.68%,"all_R_3KC9Cr2yWZHT2A6 : I feel like Alaska has a somewhat unique social climate. Most people here feel very strongly one way or another about things, and that led to my generation being largely radically leftist. That opened up a lot of potential for accepting friends during my highschool years, which was wonderfully formative. That being said, there are also many individuals on the opposite side of the political spectrum. In my senior year I testified at our city hall in support of an LGBTQIA+ protection ordinance, and it was eye-opening to hear testimonies against-- people who are practically my neighbors that would rather my community be vulnerable in many ways."
69,0.40%,"all_R_1r7eAcSFcxm5EwX : I love in a town with less than 1,000 people. Most are very conservative. I think most people assume that because I'm married that I'm straight. I wouldn't lie about my sexually but I'm not screaming it from the rooftops. I have been trying to relax a little about it though because I have two queer kids and I don't ever want them to feel unsafe or ashamed of anything."
70,0.28%,all_R_tQwC3Q027SDXCy5 : Living in California But it's a fairly conservative area I got to flip off a nazi once which was nice And slightly terrifying and I guess thing I've noticed is people are more comfortable with orientation now than they are with gender presentation.
71,0.18%,"all_R_D2KLC7KWbVO9f33 : I'm fortunate to live in a more accepting state, but overall the United States seems to generally be a cesspool of anti-lgbtq+ legislation and bigotry"
72,0.35%,"all_R_1K7pXTShU5x84fr : Where I live gender dysphoria and the treatments associated with it are considered ""elective"" which makes paying for them more difficult. The worse my dysphoria gets the worse my depression is, the harder it is to get up everyday. I don't socialize outside of work or family because my dysphoria makes it a nightmare."
73,0.36%,all_R_2zYIUQphxS56xEx : Being transgender is not something talked about or helped with where Iƒ??m from. 1 support group in a maybe 3 county area. Not a lot of jobs with benefits that would help this either. My sort of relationship would be extremely frowned upon if people knew. Iƒ??m not sure if this is what is meant but this is what I came up with.
74,0.41%,"all_R_27BiIY0fNbtfLK6 : Where I live is terrible for transgendered people. I live in small town east texas and I'm constantly worried or fearing for myself. My spouse is very supportive of me as she has been here before the transition. My family is very welcoming and okay with it. But strangers here, not so much. I'm scared to let my b9obs show or that I'll talk to high and be disregarded as a man."
75,0.41%,"all_R_3Gm4ZJGvmwwKflr : My current place of residence gives freedom that was not even possible at my previous place of residence. I feel really at home here for the first time. The anonymity of the big city and the social pressure to perform, as well as the lack of commitment in social encounters, which are typical for my milieu, make it difficult for me to build long-term, deep bonds with others."
76 - 77,0.83%,"all_R_2pPoHDC2r2u4At6 : As an Anatolian Swabian you often have difficulties in the application process. But when it comes to talking, I&amp;#39;ve never received a refusal. However, I had a maximum of 5 interviews for 200 applications. My German fellow students without a migration background were hired more quickly. So I started my own company. Because I donƒ ? ? t want to be judged by people who donƒ ? ? t want to see my qualifications behind my ƒ ? ?outsideƒ ?. Many of my friends in 2nd / 3rd / 4th Generation can share similar experiences. Otherwise I have never experienced racism in Germany until 2012, but since then there have been &amp;quot;racist problems&amp;quot; almost every day. Germany is a very social, innovative, safe and fair country. Without said everyday racism it would still be a dream. :)"
