ref,coverage,content
28,0.25%,zero_R_3Myd7AoW0ABuwGY : I feel unsafe at times when leaving school or work. Crime in Buffalo NY is high. I make sure to carry pepper spray with me for a little sense of protection.
29,0.98%,"zero_R_27ydl0mLd8rp07Y : My safety is mostly impacted by my geographic location. The neighborhood is becoming unsafe as my home is in a high traffic area. My home is in between two apartment buildings so I rarely get the chance to know my neighbors and don't really care to at this point. There are a lot of businesses and stores nearby which allow the possibility of break-ins and robberies as they have happened before. One of the suspects has cut through my back yard one in attempt to run away from police. My health is okay but I often despise my home and think it discourages me by the way it looks inside and all the responsibility I taken on by myself. All I ever do when I am home, is sit in my room."
30,0.29%,"zero_R_1jUGLRLNJ5adtuY : My location impacts me by secluding me from the busy city life that surrounds me. I feel safe and comfortable at home, but somehow like i am still an outsider due to my roommates."
31,0.75%,"zero_R_2D6LcpvKBxfadOr : I live on the outskirts of the country where it is very quiet but I have always enjoyed a rich lifestyle and both of my parents are married while my mom stayed home to raise both myself and my brother. Our location is safe with a large supportive community with hospitals, grocery stores, drug stores, gas stations and so much more within a 10 minute radius of my home. There has never been a fear in my family of sickness being a life threatening issue or of our home being separated. I have lived a happy life so far."
32,0.36%,zero_R_2t4OyUlKmxhfGBO : I live in a high crime area. I almost always keep my doors locked. Theft is a terrible problem in my community. I wish that people could respect other people's property. It makes it very difficult to trust. I hope that this will change.
33 - 36,0.79%,zero_R_3L7LnKACywaDTgv : I live in a very wealthy neighborhood. I have always had access to anything and everything I needed as a child. I never felt unsafe walking to the local town or biking to my workplace. I do feel isolated from my peers as i live very far from my current school. This strains my relationships with friends as i have to rely on calling and facetime when i need someone to talk to. However living at home strains my relationship with my parents as we have very different lifestyles. I have never worried about not having access to health care services.
37 - 39,0.37%,zero_R_1onA35tvArg0SLM : The area I live in is very busy and loud all the time so it becomes background noise for me. It did make it harder to hang out with friends due to it being unsafe to cross the road alone before they put in more stop signs and traffic lights
40 - 41,0.72%,"zero_R_2wvHzuRjsbZWNsU : I grew up in a secure neighborhood, so I???ve never had to worry about my safety regarding location. I???ve had a healthy relationship with my parents and they have provided almost all of my families needs (financially, physically, and emotionally). Living in a rural conservative area could impose difficulties if I identified differently regarding my sexual orientation or gender, however, sense I identify with the societal norms I have not personally run into any problems in that aspect."
42 - 44,0.24%,"zero_R_33dMKOnGSh1dG77 : I live in a safe area, with plenty of access to healthcare, relationships are openly talked about so I am not really negatively impacted in any way."
45 - 47,0.12%,zero_R_1jBzZ3Z0rEOh9Nn : I believe I live in a great location where I feel very safe.
48 - 49,0.40%,"zero_R_2DOKc7wVmBvgMoW : When I am in Merced my relationship with my boyfriend is more affectionate rather than at home where we live with our families, but at home family is easier to be close with. Also, at home I feel more safe rather than in Merced sometimes it can be a little iffy."
50 - 55,0.19%,zero_R_2A1rma8DlYUtUQx : I feel grateful to live in a location where education is important and I can go around safely for the most part.
56 - 61,0.34%,"zero_R_2aQOwm6G74IWC6R : My location, being in an extremely safe, suburban town has impacted me positively. I do not feel my safety is ever threatened. My community has a very good education system, as well as many local healthcare resources."
62 - 66,0.10%,zero_R_BGmCVeeXlO4jcl3 : Always safe and surrounded by good resources
67 - 71,0.24%,"zero_R_qCKB6VxbtWqg9zP : My current location is secured and in terms of health condition, I'm OK too. Good Relationship is a core value in my tradition that's respected."
72 - 76,0.26%,zero_R_3Kq0nvxolbPPMvX : I can walk into town and to the train station from my apartment. It also doesn&amp;#39;t take long to get to the lake. The police are right around the corner.
77 - 81,0.16%,zero_R_1K447bkCoxdsgKR : My place of residence is my anchor. I feel safe and secure and it&amp;#39;s wonderful
82 - 85,0.13%,zero_R_2PckrcdkMkQUzTf : Very safe in my home! Lots of nature = health ... like to be outside.
86 - 89,0.22%,"zero_R_1XJDGdEsi7aKlSV : Quiet, safe, lots of nature, so lots of opportunities to move around, little industry, little traffic. Most of the family in the area,"
90 - 93,0.19%,"zero_R_4G6PNIn55qMGpMZ : Residence makes me very happy, I feel very comfortable and safe. Found a lot of friends and my boyfriend here"
94 - 97,0.38%,zero_R_1mzbc89u9ESzGwu : I feel safe in my place of residence and can move relatively freely without having to worry. There are plenty of doctors / hospitals nearby. There are enough opportunities to move in the fresh air and to take advantage of shopping opportunities.
98 - 101,1.22%,"zero_R_ZmiywjObddFV5qF : My relationships are positively influenced by my place of residence because our place is a bit smaller and you can spontaneously meet friends / acquaintances differently than in big cities. I also see my security higher with us, especially in relation to break-ins, theft and violence because this is only minimal with us and if you do then you know the &amp;quot;bad roads&amp;quot; and avoid them. My personal development and diversity is limited by my place of residence because here you definitely stand out if you are something ? ? ?different? ? doesn? ? ? t matter whether you are figure, character, etc. Because I have complexities with my figure despite having a normal build I feel the pressure here in Coburg is significantly greater than in larger cities. One is viewed more critically here and more is expected of one in terms of appearance."
102 - 105,1.34%,"zero_R_2v2GJ0BQkdlp7ix : I am currently commuting back and forth between my home, my place of study and the place of residence of my partner (we are not married + he does not live in Germany). Due to the Covid-19 situation, I moved the 400km back to my home, as I have several foster care cases and high-risk patients in the family who my brother and I support. This also means that the visit from my life partner is no longer necessary. The distance puts a strain on the relationship, but I will move away from emden and after our studies are over we will see. I feel safe in all three places. I don&amp;#39;t regret the decision to change my place of residence due to my studies. Emden is a very pleasant city. It&amp;#39;s big enough but not a big city. Everything is on site and everything can be reached on foot or by bike. The only thing that is a shame is the poor networking of the buses. However, there is a train station in town with a pretty good connection."
106 - 109,0.18%,zero_R_3R24Z4ot3nrwQyj : I feel safe and well connected where I live. Everything I need for my daily needs is within easy reach.
110 - 114,0.46%,"zero_R_3HjLSEEhSpQfetn : After 2 years in Cologne I moved back to my hometown. Since I had to quickly find out that the city ideal is not mine. When I was in my early twenties, I found the small town climate cramped and annoying. Today it gives me security and I don&amp;#39;t want to do without certain familiarities in the area."
115,0.13%,"zero_R_26hX03Eby5vm6LS : Place of residence: not a safe area, now and then fear of burglary"
116 - 119,0.34%,"zero_R_DPkzONRpdFP1Xjz : I feel safer and more comfortable when I live close to family and friends (&amp;lt;30 minutes by car). When I lived further away during my semester abroad, it had a huge impact on my mental state, I was often unhappy."
120 - 123,0.28%,"zero_R_2WO0otcvjX2oxVW : I feel very well. There is a lot of green and nature, it&amp;#39;s quiet. I have good neighbors and I feel accepted. I&amp;#39;m not afraid to go outside alone at night either."
124,0.66%,"zero_R_Qn2kqCbFAH92KWd : I find Hildesheim a less safe place than other places (I&amp;#39;ve moved more often) because a lot of strange people walk around here, especially at night, the ?-PNV is very bad for Hildesheim being officially a big city, but you have relatively good connections to other larger cities and, accordingly, all the supply options you need, the people are not as open as in the Rhineland, for example, but also not quite as closed as in northern Germany"
125 - 128,0.61%,"zero_R_1lsfsW5yLOxWizo : I consider my place of residence to be quite privileged and I always feel safe there. I&amp;#39;ve always wanted to live in a beautiful old town and that&amp;#39;s why I feel very comfortable there. That will probably help me find my balance at home and recharge my batteries. It&amp;#39;s a quiet environment, good for your mental health, yet not far from the hustle and bustle so you don&amp;#39;t feel left out."
129,0.12%,all_R_3fDksuP0XJsPa80 : Location can determine safety because some places are sketchy.
130 - 133,0.15%,all_R_129ilx52fSUUKEn : I feel I???m from a safe environment. I can be more outgoing to success as a result.
134 - 138,0.18%,"all_R_2dxTM1i9IElpjS9 : I feel my geographic location is a safe place. As a result, I feel I can be more outgoing to success."
139 - 140,0.65%,"all_R_1lgVk7FTyWRDaiJ : Well in this day in time no one wants to be in a relationship, everyone wants to be single and living their best lives. Like yolo but it???s the same with sex people act like that is a hobby and that???s why diseases are going around. Safety more and more people want to do the illegal things to get ahead so we don???t have a lot of safety especially when the police are just going around shooting people. No safety at all in this day in time."
141,0.43%,"all_R_3O7XQVa4uzv4uFr : I live in a small town with a numerous people addicted to different drugs and sometimes they do not make you feel the safest but I know there are people that will help if something happens. Other than that, I believe that my community has been helpful in growing to who I am today."
142,0.23%,"all_R_vYKe7s0zWK3J41b : My neighborhood is safe...mostly. There are gunshots, but that's a new thing. I live in an area where it used to be the white suburban area."
143 - 146,0.26%,all_R_27UOZBH2uG86vIE : I am from a very close community where everyone knows everyone. This makes it easy to have someone to talk to. I always feel safe and happy in my community.
147 - 150,0.14%,all_R_2zMxVIbacwP5DCg : it is very safe. I live a block away from a hospital and fire department.
151,0.22%,"all_R_22Am5N3utH96sCS : I live in the country in a small town so there is little to no crime, but there aren't many people so relationships are hard to find."
152,0.44%,all_R_3wloSZYMhrcGtYl : The area in which I live in is known for sex trafficking. Sometimes I get a little worried but I am always aware of my surroundings and I am hardly ever alone. I don't fear so much for my life because I feel like I can handle myself. I get a little fearful when it comes to my younger cousins.
153 - 157,0.30%,all_R_32VXUEkFgKaxErR : I don???t really think about what other people have to say about anything that has to do with me. It???s mostly just what I think about myself. As far as safety I guess it???s pretty good.
158 - 161,0.22%,all_R_3feEnZvV1GTpoEZ : I feel very comfortable with the area I am in and feel no harm. The area is very relaxing to me and I feel calm when I am outside.
162 - 165,0.39%,all_R_2zvVcKPxYR1O3Vh : I live on campus and I feel more safe here than my home town. Here they have a police force in close proximity and they have security that patrols campus. I also have access to a hospital if needed and the school provides me with transportation to get around.
166,0.20%,"all_R_3hzt3PzIJtINitl : Living in a rural area, I feel it is less acceptable to be openly queer. I am safe but I bet some people are not."
167,0.35%,all_R_2EB4aX67sBKg6oY : My location is impactful is because the people and resources around me tend to chance my overlook on my environment and help me cope with the idea of change sense coming to college from a big town and moving to a smaller town
168,0.32%,all_R_1LFK3JHwlaoAG8O : My location impacts my safety because Chicago is a very dangerous city to live in and that sometimes effects my ability to go out and enjoy things people in safer neighborhoods can like Parks and parties
169 - 172,0.42%,all_R_1pEFKSqgUhFo2Ys : My location has a big impact on who I am and who I have become. It is a safe place for me to live and a place I like to live. It has been good to me and provided a place of comfort and safety. I have met some great people and friends that I will keep with me my whole life.
173,0.15%,"all_R_30uVJvxk7H0Rm5C : I feel safe and loved, I just go through a lot by myself and don't speak on it."
174 - 177,0.70%,"all_R_3NNSHanMrDdJzE9 : I'm white, raised in a white neighborhood, but with a lot of liberal/left leaning people. This has led me to feel comfortable experimenting with gender and sexuality, but has left me lacking in education on racial issues. I live in a very safe neighborhood and do not experience violence, and it came as quite a shock when I was in a group of people with wildly different lives than me who live through fights at school, violence at home, and can still come out of it nonchalant."
178 - 181,1.24%,"all_R_DcwAYA2SpjwiCTD : I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
182 - 186,0.22%,"all_R_1d186U8zXt5VjGe : I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
187 - 190,0.16%,all_R_1igmldK2vwd7E9K : I feel like where I live is a very safe area. There are always police around my house.
191 - 194,0.17%,all_R_xbBpxCAFCinCpVL : My location impacts my safety in positive ways with my relationships and health and safety.
195,0.22%,"all_R_2VloD0pweK7TwrA : The area where I live is a relatively safe place, some of the relationships I have currently aren't the best but I'm working on it."
196,0.23%,"all_R_1QyBXYRDvILi4n5 : I have more privileges available for me than most, but my family is somewhat narrowminded and sometimes I don't feel safe confiding in them."
197,0.43%,"all_R_3lFDqOZloKFHlFO : I am a straight cisgender woman and living in Brooklyn does not impact my identity, in regards to not being accepted, because being straight is considered a ""norm."" I do travel late on the train at night so sometimes I feel like my life might be in danger from male sexual predators."
198,0.30%,all_R_3F34FupTee5JH9w : In my location that I live crime rates are extremely low. so safety is very rarely a problem. My relationships I have built in my community are very strong and I can easily count on them.
199 - 202,0.46%,all_R_27JzkeYZLZHZCQD : I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
203,0.17%,"all_R_1Hib3WYER8Ulk4S : My geographic location has caused distress to my social life, my safety, and my mental health."
204,0.49%,"all_R_2Y9bbZA1POsawOL : Most people would say that where I'm from isn't a very good neighborhood, but I feel like I have adjusted to it. There has been times where I haven't felt safe but you cant really be safe anywhere. Sometimes this would affect my friendships because my friends wouldn't want to come to my side of town because they're scared."
205 - 208,0.54%,"all_R_3MrrZ2SbedNlrFh : My location makes me feel safe, it is a good area and I'm never scared to be anywhere in my neighborhood. All of my relationships I have made are from my location so it means a lot to me. All of my memories are there and one day when I move I will be very sad because that is what I consider to be my home. I think its the best place and I take pride living there."
209 - 212,0.43%,all_R_1pQCe16HliqpGNr : I live in what is mostly considered to be an upper middle class neighborhood. Most of the people there are like me and we rarely have any dangerous occurences. I feel safe there most likely because there a few people there who would discriminate against me for any part of my identity.
213 - 216,0.15%,all_R_3hxRTzapLwiARCo : I think that my location keeps me safe since I am from a mainly safe neighborhood.
217 - 220,0.21%,"all_R_sb93leIiIls6vJf : II feel very safe within my location. My health is also very good and my relationships are, for the most part, unaffected."
221 - 224,0.22%,all_R_3qE6gOWpMkJ13SK : I do not have to worry too much about my safety or my health in my neighborhood due to minimal crime and nearby competent hospitals.
225 - 228,0.26%,"all_R_1gbUdILu0SIEyxy : My neighborhood is considered wealthy and safe; versus where I was raised. I feel at ease in my neighborhood, however, My friends and family live in other places."
229 - 232,0.29%,"all_R_126k83eIkNxejp2 : My home is in a fairly affluent area, and live in what is to be considered a safe community. The general public is mostly accepting of peoples differences, definitely allowing growth."
233 - 237,0.16%,all_R_2TMjSbrHo2ZLCbY : my place of residence enables a good security and the possibility to realize oneself.
1,0.18%,all_R_2rdTtaEXvhTAwPn : I'm in college so I have access to a lot of different people so I feel fairly safe and I have access to a variety of different relationships
2,0.31%,all_R_1CxcsNLLkAflO3q : My closest friends and boyfriend all live in the same town as me. My town is safe and small I know lots of people in town. Safety wise when it comes to driving its not that safe being as theres lots of back roads and woods so there are frequent accidents there.
3,0.25%,all_R_1mQ0amsp5R1dqsS : The place I live makes me feel very safe because it's a closed-off street where everyone knows each other and authorities are close by. I have access to my doctor or a hospital very easily near where I reside.
4,0.33%,"all_R_2zGYo4oAF8ywKUr : The location I grew up was a welcoming community where I was able to discover myself and feel comfortable with who I was. Of course there were certain people that made things worse, but overall I'm happy with my home location and am proud that it was as an accepting place as possible."
5,0.20%,"all_R_1QzvdcxHuzCTwG1 : Where I live in Carmel, I feel like I always have to watch my surroundings because I live in a wood like area, and there aren't any streetlights for surroundings."
6,0.08%,all_R_3JJjuDYrhgKHfLD : Being home is most important and I feel safe
7,0.27%,all_R_2ypvM84uSO2Zqr7 : Well I don't live in the safest environment. This morning a teenage girl close to my age was kidnapped and yanked from her mothers arms. This happened very close to my location so it makes me feel very uneasy about my surroundings.
8,0.36%,all_R_1mPhEbpGRaypPCg : My location is very safe. I feel secure and comfortable where I live. I am lucky to have health insurance and parents to help me with any health concerns. I have always had what I needed and gotten what I asked for. My parents know how hard I work and tell me how proud they are of me every chance they get.
9,0.23%,all_R_3MbRJFbAKIMnoPA : My location impacts my safety in a good way because the neighborhood i live in has litttle to no crime activity. Also everthing is close by so I can walk where i want to most of the time.
10,0.39%,"all_R_2Xopwo5atzA4TnQ : My current location impacted my safety by providing me with multiple outlets and access to security for protection. For health, I have access to a clinic for any health concerns or illness. Relationships, because this is college everyone is focusing on themselves and getting their grade in. You don't truly know who's genuine or not."
11,0.26%,all_R_3pngSCzwzLXLsnt : I feel safe wherever I go. I like to live where there are plenty of opportunities. I have diabetes so that can be a struggle if am not taking care of myself. I am from Sweden but do not tend to live there when I 'grow' up.
12,0.65%,"all_R_Zta2BbLGoMojDfX : My location certainly impacts my quality of life. Being able to live in the United Kingdom means that I get access to the basic necessities of life which ensures my safety, shelter, food and water. I have no complaints about my location in that regard. However it can also be said that living in London, the capital of England, which is a city rich with multicultural sights and people it is very easy for someone of all aspects of their identity to be accepted, including myself. I feel perfectly comfortable residing here and I doubt that all locations will grant me such a luxury."
13,0.93%,"all_R_2Cea9uKUqFqDgtg : I feel like I was lucky, growing up privileged growing up in an environment where I never lacked anything and always had people around. I therefore never faced challenges that a part of the population does face, there was always support on all aspects. Still, it came with its own set of challenges. The need for success at all cost came from a very high pressure from family and school but it has toughed me up and made me adverse in front all challenges, but it has also distanced me from a lot of issues, meaning I can look at issues sometimes from a very cold and distant perspective. Even if I don't have any complicated relation with sexuality or identity, I know this would have been a problem in my family coming from a privileged catholic background. In general term I was very lucky and had access to health services and always felt safe."
14,0.09%,"all_R_2S6ruOzBbeQQ2zF : I think my location provides security, comfort and history!"
15,0.43%,"all_R_ZaeRJ30wdQCTMpH : As much as it is dynamic and busy, Paris is a city of cultural freedom - you can be whoever you want to be and there would always be people who will help you build yourself up. The city is stimulating and inspiring, however It could have its downsides too, depending on its districts, in which safety is an apparent issue. I believe that is the case in every metropolitan city."
16,0.18%,all_R_8euSjos0F3E9RyV : I reckon the place I live in helped me a lot to create friendships connections which is makes me very happy. I don???t feel unsafe though.
17,0.23%,"all_R_1IiTQC9Emu319FZ : In general I'm feeling very safe in my area, I managed to build strong relationships with my neighbours and local friends, I know I have couple of friends living close to me I can rely on."
18,0.10%,all_R_1CkibFGUAdOSOmG : I live in a small town. I feel good about my safe an secure here.
19,0.86%,all_R_32XAOYZoWaNGPpU : I've been living in at evergreen terrace apartment for a month now and I have a mixed feeling about it. Although I'm very happy with my campus life which is very easy access through bus the living situation I believe can be improved the biggest issue I have is safety all the buildings are old and anyone ca just walk in. Although I'm getting all the resources water wifi kitchen furniture etc I feel maintenance and sanitation is very poor. I go to college and after that work so I don't have a lot of time to focus on it myself but someone should. The community seems nice though all types of people are living here so a lot of diverse families live here and students live I have spoken to not a lot of people here but the ones I met seem nice and look like a cooperative neighborhood.
20,0.21%,all_R_T18HdePfP9yN9HH : I do not have many relationships where my partner lives in the same city. I am also afraid to go outside and exercise because of the amount of people who would see me.
21,0.12%,all_R_3MGRWf71bspMoyp : I feel safe and health at my location. But sometimes cannot find someone to communicate.
22,0.27%,"all_R_1l3Ge8WAGzkzCkw : I think that location has the most to do with your awareness to society. In turn it often contributes to feeling such strong emotions for others, ex. helping minorities. My location makes me feel aware, but also very privileged"
23,0.12%,all_R_2bHkBQjFWNFVWy4 : my home neighborhood is somewhat safe but makes me feel as if i have to have my guard up
24,0.58%,"all_R_22G3jMbrmssMx9Z : I have always had the privileges of having very healthy relationships and many people that are here for me whether that being my friends or family. I think because I am female sometimes I feel unsafe alone in areas of high crime which is sad in the least, but for the most part I am lucky enough to have grown up in an area where crime was decently low, therefore I rarely felt unsafe in my environment. Now that I live in Carbondale, I am forced to be a little more alert at night especially and aware of my surroundings."
25,0.15%,all_R_2TZC1bdaPM4m9ax : I've lived in the suburbs of London my whole life and this has lead to me having a very sheltered and safe life.
26,0.66%,"all_R_w7gq66Ar3jadXqx : I???ve grown up in an area that is pretty middle class, therefore, I???ve been blessed to live a stable life thanks to my parents. I???ve never gone without anything that I???ve absolutely needed and to be honest, there aren???t many things that I???ve even just simply wanted and didn???t receive eventually. I???ve grown up with supportive parents who believe in me 100% and have always encouraged me. This contributes largely to the healthy relationships I have in my life. I have people I can always count on surrounding me and it???s allowed me to feel very happy and safe at all times."
27,0.18%,"all_R_vTUb4Dvbs9CHh7j : I feel that my location is a good location it is close to almost everything for example social life, shopping and much more it is a safe area."
28,0.31%,"all_R_1Nrz14rhEiuk4st : Living on a college campus affects my safety negatively because a lot of bad things have happened in the past on campuses like attacks. My health is also impacted negatively because it seems like if one person is sick, so is the majority of campus not after long."
29,0.39%,"all_R_9oyUcFhzuZ1i1ax : I have just moved to the area and only know one person, it???s a city so it should be easier to make friends but it???s difficult finding jobs as there???s lots of competition. It???s not very safe either compared to the seaside town I used to live in, there is lots of council estates and gangs which hang round from what I???ve seen."
30,0.49%,"all_R_CmLxPDoZoEeClc5 : I grew up in Pittsburgh, PA right by the city. The city in and of itself is pretty modern and open with their inclusivity which is especially celebrated with their yearly weekend long LGBTQ parade/festival. I think because of my fathers socioeconomic status and the fact that I am considered the ???norm??ù being that I???m heterosexual, there have not been many obstacles in my way when it comes to safety, health or relationships."
31,0.14%,"all_R_pzX0cAvvLqdXSnf : I feel pretty safe in a relatively non-conservative, diverse, middle-class suburb of the United States."
32 - 33,0.62%,"all_R_2tfKwKKn6CONNF4 : I moved a few months ago and I am without a car. However, my current location allows me to walk (only a short distance) to access basic things (grocery stores, even a place to get my hair cut). The neighborhood feels safe to me, and health-wise, there is a walking trail nearby. As far as relationships, I am pretty alone and do not get much human contact."
,,"all_R_22Wft8hNpYaIVzr : I live in a fairly large city in the South, so there is often a clash between the often liberal cityfolk and the locals on the outskirts. I feel safe most of time."
34 - 35,0.23%,"all_R_1KqcAHjPVQdAcKN : I live in a fairly LGBT friendly area, and I feel safe to be myself here. My supervisor is openly homophobic however, and so I do not feel safe talking about my sexuality in the workplace."
1,0.12%,all_R_1FHr3LxgU3RLv21 : For the most part my location is safe. its safe yet some crimes do occur but not sever crimes.
2,0.13%,all_R_Tw8VWrKWcmuyDUR : My location can be considered safe. My location has no significance in my health or relationships.
3,0.24%,"all_R_1gFNkjdK5k8CYn8 : I live in a very dangerous place. I can get shot at in broad daylight. As a female, I have to be always accompanied. I find it best that I go to my friends instead of them come to me in order to protect their safety."
4,0.13%,"all_R_1JKthQMue3HYf8a : My location is safe, and allows me to be ablee to experience healthy things to keep myself healthy"
5,0.13%,all_R_1nNuLnoWE0n4SGt : I live in a pretty safe neighborhood. I can safely walk alone during the day and night but I choose not to.
6,0.26%,"all_R_1nUEfNP0bnj9Ef4 : I'm in the central valley of california, which people aren't too fond of. I love the Central Valley. I think it's a beautiful place and there can be so much change in terms of the attitudes of the people. Small cities make me feel safe."
7,0.16%,"all_R_31c7DE09JgZc7Ey : I personally think my geographic location is not the type of city I would go out for a run alone especially, being a young female."
8,0.42%,"all_R_1oIpCD1WPpSOjkv : My location is safe, it is a healthy community, and very nice people. I am able to integrate myself into society because there are many resources for the low income families here in the Stanislaus County. There is plenty of affordable foods from local farms and stores. There is emergency services at all times. I feel safe and feel that my city and surrounding areas are doing quite well."
9,0.32%,"all_R_vDNrgtUTKIJvcop : I live in a lower income neighborhood where there's gangs, drugs and alcohol. It's uneasy to live here knowing that anything can happen to anyone at any minute. I can't go out for a run around, I can't stay out too late just in case there's a shooting or car races. It's very unsettling."
10,0.13%,"all_R_2SDjgrbBHm2hUP6 : My neighborhood is over-policed, I live and is mostly African American people and Hispanic/Latino people."
11,0.10%,all_R_32QsfgoCccZ95e1 : My location impacts my safety because it is a small town and not a big city.
12,0.30%,"all_R_ezjB5BVBbbBaf9D : I live not too close to my friends nor family. There is a health center about less than half a mile away. There are small convenience stores around. I feel pretty safe in my location. In a neighborhood close to mine, there are occasionally police officers driving by."
13 - 14,0.13%,"all_R_Wp1oMA6GiBeMMil : Before my location affected my safety since I lived in a ghetto city, but after moving I felt relief."
15,0.28%,"all_R_2U4qEWc2zaPOVS6 : I am fortunate enough to live in a safe, healthy environment (atleast comparatively) where mental health is not necessarily a serious issue. But I am aware that I am privileged and this is not the case in some, if not most other parts of the world."
16,0.08%,all_R_2S69rM3pz1Mot6N : Where I am living now I felt pretty safe to live in.
17,0.27%,"all_R_3ewydwmpjXANdxH : My location can be very dangerous for some individuals. My areas population is majority republicans, and for some it is very hard to fit in. Especially for me, I fear being myself in front of random people in fear of what people may say or do."
18,0.19%,"all_R_8303L0vMoH3whdT : It can be scary at times, don't know majority of the people that live around me. Sometimes it makes me feel safe to know that most of my neighbors are also students."
19,0.13%,all_R_2cBhOXyRzvjubbR : My location is not the safest place in the world but as of right now its been calm due to the pandemic.
20,0.33%,"all_R_1f9JJKy59CdhCWy : Living in a small town/city has helped me be more open and explore more places. This has caused me to make more friends, established relationships with restaurant workers and neighbors. I feel safer taking a walk around my neighborhood and even taking public transportation to places like the doctor."
21,0.06%,all_R_74At7ZaMERfQKxb : I feel safe in my house in Merced.
22,0.23%,"all_R_1E0823AUilho9dw : Living in a dangerous community, I have witnessed and experienced crime and injustices that have occurred in this location. There have been several times when I do not feel safe walking down the street."
23,0.16%,"all_R_3LZMEonhxsKvYzN : I have lived in one of the most dangerous cities in California, it has not stopped me from pursuing my dreams and going to college"
24,0.14%,all_R_3PB93Pi5r52hFrA : I believe my location makes it easier to feel welcome. My location is not super safe but it is not a bad place.
25,0.07%,all_R_Wwa3Htm9EC8tpId : I live in a safe and quite neighborhood.
26,0.13%,"all_R_3rV7Px54mlyWK7x : My location includes a very safe, friendly community where everyone is friendly and helps each other out."
27,0.06%,all_R_2rHJTXHfX565bGE : I live in a pretty safe locations.
28,0.19%,all_R_27P5Vl6EzOm9WmF : My geographic location doesn't tend to be the safest but nothing has ever happened to me. I feel safe I have close friends and family near me almost at all times.
29,0.22%,all_R_3Mgw4ad5tvMQ5QO : I don't think my location affects my health or safety if anything it does affect my relationship with my partner since he is away on active duty but not with my family since I am living with them.
30,0.49%,"all_R_3I51miGkC5eiHaV : My location impacts my allergies. Since I am living in the Central Valley, my allergies tend to flare up due to the high pollen count. Luckily, I do have access to the health care centers that are not too far from my home, where I am able to receive medication to help it. The neighborhood I currently live in is in, what other people I know refer to as, the safe side of Merced. Therefore, I generally feel safe, especially when going out to skateboard or walk."
31,0.07%,all_R_2cjUeOj00AckKz6 : I live in a safe area and like where I live
32,0.10%,all_R_33g4RcoV7jlcbTe : I have A LOT of privilege living where I live. It is a safe neighborhood.
33,0.25%,"all_R_AuKUQZyXdC9C5RD : My situation is unique in a few eays. I am privileged not to have to worry about housing, and I live in a safe area, so even though I have very little money, I feel more secure than most people in my financial situation."
34,0.15%,"all_R_22GoFtvBigb05aj : my girlfriend, being a trans woman is more at risk. I feel most at risk from attack when with a partner or vulnerable friends"
35,0.45%,"all_R_2rjali6znLKa9IA : I live in a very racially divided area that isn't very accepting despite being fairly liberal. Since coming out I've experienced much more discrimination than I expected I would, and this has had significant impacts on my mental health and, at times, safety. I do know that I am somewhat lucky to live where I do because accessing support resources is relatively easy, especially given my stable financial situation."
36,0.33%,"all_R_1laiXJIxIBAThje : Living in Utah means that my contact with queer peers or queer accepting peers is limited, as I???m barely tolerated. Often I reach out to different people across the world for help too, but even that has its limits. I definitely feel safe here, but not wanted. It???s a weird paradox in that way"
37 - 38,0.47%,"all_R_29ph7etxLTn2MTe : I live in a safe, mostly residential neighborhood. It is somewhat difficult to access groceries and fresh food. I do not personally know any of my neighbors. I am a young, White, cis woman-passing person, and I'm occasionally uncomfortable living close to a police precinct. I occasionally face street harassment when walking to the train or around the neighborhood, but I rarely fear for my physical safety when out alone or at night."
39,0.33%,all_R_2BtZVJFvGR1WIgs : while utah has alot of protections for trans people and good laws in place the people of utah show another side. other then pride week am i a sin a disgrace a flaw in humanity unnatrual and treated as lesser. i have to plan my trips to not exit the car at certian places because i fear for my safety
40,0.22%,all_R_dgNRsFtLDe9NTcB : It???s not super safe for people like me but the resources here are plentiful. Also having family that doesn???t acknowledge any gender identities that aren???t assigned at birth doesn???t help.
