ref,coverage,content
132,0.57%,"all_R_C8fW58bHWgNbgL7 : My location is in the suburbs of Chicago. I grew up in an area where pretty much everyone is middle class. If ever did need to go to the hospital for my health the hospital was never far away. All the children in that town go to the same school so relationships with people are strong. If something bad ever did occur police, fire department, and ambulance are very quick to the scene."
133,0.72%,"all_R_2TNX7f5zeTisjtp : I don't feel as though my location impacts me as much as it did when I first moved here. Moving down here for school with my best friend, we didn't know anyone else aside from some people we went to school with, we didn't really know our way around, and we just felt out of place. After being here for a little while now, we found jobs, coworkers have become friends, we have met new people in class and made friends, and I believe my health, relationships, etc. are doing very well down here."
134,0.21%,"all_R_3KQ8xsW2v3oItqE : My location gives me a lot of opportunities to form nice friendships, start a life without worrying about my surroundings."
135 - 136,0.39%,all_R_1i23eRpxrAD6iQl : My location impacts me because it is a very small town so I often feel very safe because everyone knows everyone and is willing to help anyone when needed. My relationships with my peers are amazing because it is a small town so we all just stick together.
137,0.26%,all_R_27UOZBH2uG86vIE : I am from a very close community where everyone knows everyone. This makes it easy to have someone to talk to. I always feel safe and happy in my community.
138,0.29%,all_R_31WL9ECGyqt5v9o : my location impacts me because I am a short distance to a large number of medical phystlities. my location is also key when in relationships the other sex is available in my location.
139 - 141,0.28%,all_R_3qew482Z6SHh34l : I have always grown up close to family and that has given a strong support system and able to talk to them about what I am going through and what they did in my situation.
142,0.27%,all_R_27dsnaUjAEAPx3U : I live in a small town when im on break from college. There arent many people there and everyone knows everything about your life so it is hard to build new relationships
143 - 144,0.23%,all_R_3ndbGy9yDy6Rd0x : Everyone has strong relationships with each other within my community because we are a very small rural town and everyone loves everyone.
145 - 146,0.13%,all_R_880gBfUQGcyYFmF : I live in a good town where we are close with a lot of our neighbors
147,0.41%,"all_R_2fnRt84KtUe61e9 : My location impacted me in many ways. First, my location was a decently affluent area in the county and I went to a good highschool. It effected my relationships with friends in a semi negative way because we are always trying to stay up with unneeded social standards."
148,0.20%,"all_R_2qfmCa8voCxCzTo : My location impacts me because I have people to trust, and people to stay by my side at rough, and difficult times."
149,0.38%,"all_R_UuM2tHyiyV69Jdf : My geographic location id full of fun and sad memories. It can be stressful and also a little bit overwhelming. My body is tired than usual, I just feel like giving up but i have supportive people that stand by me and root me on to do greater things."
150,0.17%,all_R_3j6GlYdkpgJBjyl : Most everyone I've met has accepted my sexual orientation. I very seldom encounter homophobia.
151 - 152,0.12%,all_R_3gR8CZ1ercurXhP : I am comfortable in my location and I know most people there.
153,0.19%,"all_R_vvIAxm5C0cpYuvT : Impacts me in a lot of ways. Being around my friends, coaches and teammates helps me become who I am suppose to be"
154 - 155,0.10%,all_R_2sZtVmB51R96lFT : I had a very caring and backing community.
156 - 157,0.12%,"all_R_27kbIFZsSnTUubr : My location is safe, and I have a lot of family support."
158 - 159,0.35%,all_R_3m4a7RIDOb9DaQ7 : My health is not too well mentally. My anxiety is out of control. I am originally from Champaign so I am sure homesickness is hitting hardcore. I like Carbondale but I think that I would rather be home around my friends/family.
160,0.15%,"all_R_30uVJvxk7H0Rm5C : I feel safe and loved, I just go through a lot by myself and don't speak on it."
161,0.30%,all_R_3F34FupTee5JH9w : In my location that I live crime rates are extremely low. so safety is very rarely a problem. My relationships I have built in my community are very strong and I can easily count on them.
162,0.59%,"all_R_yqq6tYRwjjms1Lr : The location in which I live in has very low crime rate so feeling unsafe has never been a problem. My mother works for my doctor so having availability to healthcare has always been easy as well. I grew up in not the wealthiest family, but we always found a way to make it work. Family and friends were always there if we needed help and we're always there if our friends and family need help."
163,0.23%,all_R_u9th64odvFJ0Qvv : My location does benefit my health and relationships because it allows me to be closer and more accessible to the ones that I care for most.
164 - 166,0.83%,"all_R_3KDE3UnwLBYQjlh : It doesn't effect much at all. I don't feel like my location has that large of an impact on me, and maybe that's because I don't think about it very much. It's not something I've given much thought. I have a doctor, and my family is always there to help me if I ever need it, I've never really felt like I had a reason to worry about anything. I've always been able to keep a smile on my face, well, most of the time anyway, and that's what I think is important. I think having a god reason to smile, and having a good reason to be happy, is what makes life truly meaningful."
167 - 168,0.73%,"all_R_3iCD38p9tgwXTGC : I chose My high school as my location for this survey. I chose my high school because it changed me as a person so much and it changed my point of view of life. I dealt with a lot of fake people and was always dragged into drama I never should've been apart of and it affected me emotionally and physically. I never really had a good year in high school because of those reasons, but after learning to keep my circle close and knowing softball helped me relieve my stress and mad me happy, I survived."
1,0.18%,all_R_2rdTtaEXvhTAwPn : I'm in college so I have access to a lot of different people so I feel fairly safe and I have access to a variety of different relationships
2,0.31%,all_R_1CxcsNLLkAflO3q : My closest friends and boyfriend all live in the same town as me. My town is safe and small I know lots of people in town. Safety wise when it comes to driving its not that safe being as theres lots of back roads and woods so there are frequent accidents there.
03-Apr,0.21%,all_R_25WQfxfT7RnXImZ : A lot of my friends live near me so if I ever needed someone to talk to they were always around. Family lived close together too so people are always there to support me.
5,0.25%,"all_R_2E443lyUqUwMhtD : oh my location impacts me a great deal. i live in my hometown &amp; next door to my aging parents. they own my home/landlords. my adult daughter lives in the same town, as well as my aging aunt &amp; uncle."
6,0.12%,all_R_3feHGf7EVyEsGWR : My location keeps me within some distance of close family which can be helpful at times.
7,0.66%,"all_R_w7gq66Ar3jadXqx : IÉ??ve grown up in an area that is pretty middle class, therefore, IÉ??ve been blessed to live a stable life thanks to my parents. IÉ??ve never gone without anything that IÉ??ve absolutely needed and to be honest, there arenÉ??t many things that IÉ??ve even just simply wanted and didnÉ??t receive eventually. IÉ??ve grown up with supportive parents who believe in me 100% and have always encouraged me. This contributes largely to the healthy relationships I have in my life. I have people I can always count on surrounding me and itÉ??s allowed me to feel very happy and safe at all times."
8,0.32%,"all_R_3nq6Z2tCI4wylk2 : I am in a secured environment where most of my family is, so I know I can rely on someone for the most part. Also, it is very accessible and easy get to doctors and therapists in Dubai so I am able to feel very comfortable in the geographical location that I am placed in."
9,0.27%,all_R_1dpl3cGzQNPHlNA : my location is in the suburbs and i am very blessed to live in a good neighborhood and to have had such open and accepting people throughout my life. if i had grown up anywhere different i would not be the same person i am now
10,0.41%,all_R_2sYIakxWINadEXo : My geographic location is more rural and my neighbors are mostly my family. I feel safe living here and my family is close to each other so itÉ??s nice to have people you trust close by. I think the biggest impact my location has had on me is that since it is more rural and I didnÉ??t have other kids to play with growing up I felt isolated and it made me shy.
01-Feb,0.21%,"all_R_qXbyNIyXdtCKjp7 : I'm currently homeless and new to the area where I'm living. I came here partly because of the stronger queer community, I'm in a place where generally I'll be able to get more support."
3,0.81%,"all_R_2xK76gtDQJNDrn9 : Oh gosh... I think about this a lot. I am a queer polyam-identifying single parent, with lots of É??crunchy granolaÉ?ù gentle-parenting practices. I live in the Deep South, and frequently feel like I am not in a community that supports my identity and choices. ItÉ??s hard to maintain my core values and beliefs when it feels like IÉ??m surrounded by opposing views. I am also *slowly* pursuing a career path in sexuality education, and there are almost no in-person resources (workshops, seminars, classes, etc) geographically near me. But as a single parent, with deep family roots and support from my parents, I feel that I really have no choice but to stay here. Moving away feels utterly impossibly, and that conundrum really adds to my stress, anxiety, and unhappiness."
04-May,0.69%,"all_R_1n0jKcCbzrPN4g5 : Pretty distant from the violence that happens in Longview that my coworkers have to deal with. I have two amazing best friends, my fiance whom I live with and a best friend that lives in the same state and they support me in every possible way. My life would be miserable without them because my family doesn't understand. I'm going to admit here that I'm starting to consider myself Agender but I don't know if I'd ever admit that to my family because my asexuality already makes me a joke. I have discussed Agender with my best friends though, more as a concept, but they're so open to talking about anything that I feel safe with them no matter what."
6,0.40%,"all_R_1hHnoosMwqDduE9 : At the moment, I am living in the epicenter of a pandemic, so my views and mental health are quite skewed by that fact. New York City has provided me with a community and family of people I love who accept and support me, no matter what, but I don't really have the option to be *with* those people at the moment, so I answered my questions to the best of my ability."
07-Aug,0.85%,"all_R_SICoju41jYsZE9b : I live in the south and it hasnÉ??t exactly been easy. Though I currently live in a more open minded part of our city, I had to leave my old job because of harassment after I came out on Facebook. I wasnÉ??t fired, but the harassment was poorly handled enough that I no longer felt like I could stay on. I was lucky enough to have something else lined up, but itÉ??s still been difficult. If I didnÉ??t live with a partner right now I would probably be homeless or in danger of being homeless. I was booted off of my momÉ??s insurance and although I desperately need mental health care (I have PTSD, GAD, and depression) I canÉ??t afford it and access has been especially difficult with everything else going on. I donÉ??t know what things are like elsewhere but it definitely doesnÉ??t help to live in a southern state."
9,0.47%,"all_R_1GOJcba2UWfoVh7 : I live in a big city, which means I have easy access to health care, well paying jobs to support myself, and maybe most importantly, I am confident that most of the people around me are open minded. Also, it's easy for me to meet friends and romantic partners who are educated on lgbtq issues and have no problem with my sexuality. I am originally from a rural town in Maine, and I have only lived in big cities as an adult for these reasons."
10,0.17%,all_R_2ffhPN4S3wuugvI : I live in an area with a large LGBT community and it helps me feel supported. At the same time many people who are older make me feel unsafe.
11-Dec,0.21%,all_R_x4PFo4c47zwOPIJ : I live rurally and therefore do not have the stress and anxiety for daily safety some transwomen do. Also being married for over 20 years my wife is always there if any issue arises.
13 - 14,0.43%,"all_R_2Vm7OnYs4fQnkkp : Where I am located has changed my outlook dramatically as I went from a small town to a large city. Small cities make it difficult to find resources and connect with like minded people and support, but larger cities by design have more options to work with and more people to reach out to. I feel much more confident and open regarding my sexual and gender identities now that I am in a larger city."
15 - 16,0.63%,"all_R_e8LbU1PgzrXK1QR : I love the cross cultural value systems here. I have a rich and diverse cohort of folks who I know and like, and who I think reciprocate these feelings. I own this 103 year old house and have dogs, cats and even chickens. And a garden. There are lots of things to do that don't cost much -- basically, this is a good area in which to age in place, supporting myself emotionally and financially, trying not to be a bother, just going along and getting along. My family and I are comfortable, there are things that we just don't talk about, but, overall, I feel loved and respected. It's good"
17 - 18,0.37%,all_R_3ktVQI2znbSK3Tl : I live in a place where there are not a lot of people I can relate to other than my family and few close friends. The LGBT community in the area is not as widespread and accessible and drug abuse is common especially among younger gay men. I am not personally impacted as much as many others are but it certainly doesnÉ??t make it any easier.
19 - 20,1.91%,"all_R_2eXBZZiMB0KLL6F : Im an FTM transgender who live in the less open minded side of israel. I rarely go out of home and stuck with no job for 2 years now. My mother is my emotional support and is the sole reason i havent killed myself yet. I do have a circle of friends who are like a family to me but they live far away(in the tlv region which is 3 hours away on publoc transport.) My health is bad because i have mental issues and born physical issues (i am facing with weak immune system severe allergies to common things and I have endometryosis, which is basically my female reproductive internal organ slowly killing me, at least thats how it feels), whenever i end up in ER *sometimes* doctors refuse to take me in because of my transgenderism. So whenever im ill i prefer not to face any unfamiliar doctors. Tbh i used to work in sales and was assulted, and even though i filed a charge no one did anything, Since than im kind of really scared of people. So even though israel is really accepting the gay/lesbian theres still a long way with transgenders that no one talks about. Since i mpved back with my parents to my old hometown after the assult no one hires me (worked in tlv previously), and lately i feel hopless when it comes to standing on my own. I have my friends and i have a band which i hold onto dearly. But thats it. I cant see myself getting a proper job bec ill always have to face strangrs. And im terrified. Its been 2 years and i cant face my fears yet.israel claim to be the 'wokest' country in the middle east but thats a huge bluff. The gov is fine but the people themself. Theres still the harsh middle eastern brutal mentality, that you cant escape . I often think that there might be a good place for people like me, i often dream of canada, but i know, thats just it. A dream. Im sure thats also illusion. And that theres no really safe space anywhere ."
21 - 22,0.31%,"all_R_R4gI8pkbK0QkiTT : I live in Arkansas. Which has come a long way in dealing with the LGBTQ. But I still feel like I canÉ??t come fully out of the closet. Luckily, my husband is very supportive of me. I feel like because IÉ??m married if I were to come out of the closet as Bi nobody would believe me."
23,0.51%,"all_R_2zG7zIBH80uWZ9C : My location isnt exactly open to transgender people but I do not face an hostility either. My biggest set back in my happiness, in my development as a woman is the fact that the mother of my children currently lives with us even though we are no longer together. It has created a hostile home life. Yet I do have a really good support network other than that. The lack of trans related healthcare through my workplace is the only other cause of stress in my life. Overall I am lucky."
24 - 25,0.18%,all_R_3EiLWUkklqwcDsm : I am surrounded by a community of friends who are supportive and queer and just like me. I live with roomates who are queer and supportive as well.
26 - 27,0.31%,"all_R_2ds8I75fCO2eiWc : In some ways I am very, very lucky. I have a loving husband, a house, and many lovely animals. Where I live is on the surface very accepting. However, we have one of the most famous TERFs in the US living here and she's found a lot of support. Also, Black trans women keep dying."
28,0.50%,"all_R_1q2HxJzXLvrrRid : Worth pointing out that I am currently in the middle of Shelter in Place protocol for the COVID19 pandemic, which has affected people's availability. Geographically, the DFW metro is very spread-out, which tends to make it hard for people to see each other on a regular basis under the best of circumstances. Also, socially, this area has lots of history in Evangelical Christianity, which tends to skew acceptance of alternative sexualities or gender identities."
29 - 30,0.29%,"all_R_11dQ5TdHDuSgVUl : I have little access in my area to physical health care providers who I feel are trans competent. I have a network of caring, supportive people in my community. There are very few people of my sexual orientation, gender, and ethnic identities in my local community."
31,0.72%,"all_R_3qJpXiYh2KaKGKo : I used to live in the American South (NC &amp; VA), and was deeply impoverished. Even with a welcoming, close friendship group, life was very hard. I have since moved to rural northern Illinois. While it's not perfect, my life is much better for having the political support of a blue state. Things like unions, easier employment, and more money overall have directly helped my safety and security. I also experience a lot more places of business and state agencies that have sexuality and gender identity as protected classes written into their foundational documents, and it shows. Even with something as simple as getting a haircut (present pandemic excluded) is so much better now."
32 - 33,0.76%,"all_R_2QPrLqLL6dOwyq8 : I live in a city that I do not feel rejected in, and have many queer friends. I have also been given the opportunity to specialize my work as a psychologist in younger queer communities. I have never felt threatened as a cis bi man, and I have never felt unsafe being affectionate Rin public with my non-binary husband. My location has sometimes led me to feel unsafe over the past several years in a different, extremely specific wayÉ??in my apartment I can often hear my downstairs neighbor, and he is routinely aggressive. I have come to hate living in a city because of this circumstance and it has had some negative impact on my health because it is sometimes difficult to sleep through his noise and has caused panic attacks."
34,0.16%,"all_R_29sJ0zbUVT8sxKU : I live in a very progressive area with good access to services specific to my gender and sexuality, as well as a large LGBT community."
35 - 36,0.35%,"all_R_tFondWUPCOXtHC9 : I live in Dallas, Texas. I am lucky in many ways. Dallas is mostly a blue city, I am a white cis female, and bisexual. I'm normally not a target of bigotry or abuse. I also having supportive parents close by. A lot of my friends do not have the things I am blessed with and I have seen their struggles and it pains me."
37,0.10%,all_R_2V1Qrum5HDLSsG7 : NZ is generally accepting of trans and polyam so my bubble of people is good
38 - 39,0.41%,"all_R_27BiIY0fNbtfLK6 : Where I live is terrible for transgendered people. I live in small town east texas and I'm constantly worried or fearing for myself. My spouse is very supportive of me as she has been here before the transition. My family is very welcoming and okay with it. But strangers here, not so much. I'm scared to let my b9obs show or that I'll talk to high and be disregarded as a man."
40 - 41,0.44%,"all_R_YbllHJSCtySI2qt : My location is safe to an extent but Nigeria can never be totally safe so I take extra measures by making sure the gates are locked and I'm always alert Health wise , my location is free from disease to an extent , last time I recorded a case of illness on my path was five years ago As we know , Nigerians live a communal life so relationship in my location are more strong and healthy than weak and toxic"
42,0.18%,"all_R_plWNcJQosbZwfUR : My place of residence has a positive influence on me in every way - be it social contacts, opportunities for activities or professional opportunities."
43 - 44,0.15%,"all_R_w7wqvfbhKpKICit : There is a nice feeling of togetherness where I live, even if the place is not that small. You feel cared for and at home."
45 - 47,0.19%,"all_R_ZftVuRILiGDIGNr : Berlin, the only place in Germany where I want to live. Here I have colleagues, friends and neighbors who do not discriminate against me because of my queerness."
48 - 50,0.26%,"all_R_1LAoRZfA8AXzpic : Very central, good connections, but quiet area in the middle of a big city, nature within reach, more familiar surroundings, nice neighbors, close to friends and family, health: depression, anxiety disorder, somatoform disorder"
51 - 52,0.17%,"all_R_28AMKhKhj86g7UF : Safe, calm, undisturbed, nice neighborhood, you help each other, security, new and exciting, freshly moved, joy, togetherness, sometimes arguments"
53,0.44%,"all_R_9zzxD9sMvjg5vA5 : I grew up in a conservative village, which I specified in the geographical question. I am currently there with my parents. I left home 18 months ago and moved to WÅrzburg. As a young person I feel freer and more comfortable because of the many offers. I&amp;#39;ve often felt cramped in the country. Now it&amp;#39;s okay if I keep coming back to visit. In WÅrzburg I feel safe and can go anywhere on my own."
54 - 55,0.16%,"all_R_3E9ZuHl8pRulNsd : Good infrastructural connections, close to friends and family, short commute to work, short way to university, safe area, I feel good."
56 - 58,0.58%,"all_R_3ixVxZMb4Z8uWi7 : Feel safe because of human closeness. Thanks to the proximity to the city center, friends can be reached quickly. Quick connection to ? ? PNV (outside world), quickly in parks or forests or at the lake for relaxation. A healthy lifestyle is absolutely possible in my current life situation. Proximity to the university makes the place of residence more attractive and thus increases the quality of life. I feel in my circle of friends with my sexual orientation and my opinions on life and love to 99% in good hands and for the most part supported."
59,0.13%,"all_R_25XfevbqZHWX7CC : I feel good there, have built up a new circle of friends and can still keep in touch with my family."
60,0.22%,"all_R_1l6nHHKUq4QTUf4 : My place of residence offers little opportunity to spend time in nature. This is very important to me for my recovery. Thanks to the good transport connections, I can maintain social contacts well"
61,0.20%,"all_R_24jvBBAvDYfeFrA : My place of residence gives me peace, serenity, freedom, freedom. Great neighbors, everyone helps everyone. Lots of nature to hike alone or with friends and show them the area."
62,0.73%,"all_R_TtEWc34Wzb2q4ff : I live very rural with my parents in a big house. It takes us over half an hour to get to the nearest hospital. When my mother was sick recently, I first became aware of this distance. If we want to go out in the evening, to the cinema or to an indoor swimming pool, we drive almost an hour. The motorway (no matter in which direction) is min. half an hour away. For young people, of course, that&amp;#39;s often annoying. In return, we have the same distance to all larger cities (eg Kaiserslautern). All in all, I feel very comfortable here and couldn&amp;#39;t imagine living in a small apartment in the city for long. So when I finish my studies, I definitely want to stay around here somewhere."
63,0.18%,all_R_d3Sm8mbHyBpZ3i1 : I like my place of residence very much. It&amp;#39;s a great city to live in and I feel very comfortable around me. Many of my friends also live here.
64,0.45%,"all_R_3F54TchOqcWrl62 : My current place of residence definitely influences my current well-being. I have many friends around me, the opportunity to escape everyday life by bike or on foot and to go into nature. There are about 4 supermarkets in the immediate vicinity and I have enough light in the room. In addition, the whole health system in Finland is good, so I am not worried if something should happen to me and medical treatment is needed."
65,0.19%,"all_R_PU0vOkyjr0td86R : My place of residence allows me to do more physical activity, but also to reach friends quickly (on foot or by bus). It means that I can cultivate these friendships."
66 - 69,0.36%,"all_R_3QDVpd8zr9mTHXu : It is and always has been my home, even if I lived somewhere else for several years. Most of my family and many of my friends live there. I like the people and the life in the country. Everyone knows everyone, and I&amp;#39;ve missed that very much in the big city. The world is still all right here and I just feel good and safe."
70,0.08%,"all_R_3rt8QTit3TReKXL : Safe, secure, high quality of life, many friends nearby"
71,0.33%,"all_R_beaUTKovfG5wWhr : I feel safe. Sometimes safe. Relations with the family partly close (same house) partly very far away (Thuringia, Saxony). Relationships with friends only in neighboring towns, not accessible on foot. Shops can be reached on foot, doctors and university can only be reached by public transport or car."
72,0.37%,"all_R_28P81Ku5ifiID19 : I just moved. Out of a shared apartment in your own apartment - Hurray! Friends, the park (for my dog), the university and good shopping opportunities (organic shop, unpackaged shop) are nearby. Unfortunately the apartment faces north ... but the park is there! And Corona sucks. I&amp;#39;m annoyed by politics! My relationship is going great!"
73,0.28%,"all_R_1ffsGubPRuzU5lF : Protection, privacy, space for peculiarities, inspiration. My place of residence gives me the feeling that I am not the only person in this world and at the same time leaves me alone. It is my anchor point to which I can find after a stressful day."
74 - 75,0.38%,"all_R_WeZvGYFQGEAh9Bv : I live in a small village, but with easy access to larger cities. I achieve mobility with my own car. The climatic conditions in my place of residence, less snow and cold as well as warmer and more lakes and rivers, I clearly prefer to places of residence. Being close to friends and family is also more personal when the journey times are not so long."
76,0.32%,"all_R_2Vg56OlJcIGwyxy : I live in a student flat share with three other students with whom I get along very well. Sometimes we do something together. When my roommates are around, they make me feel safe and welcome. I live very close to the university, which is very useful for having lunch at home, for example."
